page_url,property_type,price,location,locality,baths,area_marla,purpose,bedrooms
https://www.zameen.com/Property/lahore_habibullah_road_one_kanal_house_ground_floor_shop_4_ideal_commercial_main_road-17318930-12117-1.html,House,59000000,Habibullah Road,"Habibullah Road, Lahore, Punjab",0,20.0,For Sale,0
https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_bungalow_available_for_rent_in_dha_2_islamabad-16967986-339-4.html,House,100000,DHA Defence,"DHA Defence, Islamabad, Islamabad Capital",6,20.0,For Rent,6
https://www.zameen.com/Property/clifton_clifton_block_4_furnished_apartment_for_rent-15875601-1666-4.html,Flat,130000,Clifton,"Clifton, Karachi, Sindh",3,11.1,For Rent,3
https://www.zameen.com/Property/g_11_g_11_3_2_beds_semi_corner_apartment_on_easy_instalment_plan-15668762-3332-1.html,Flat,14900000,G-11,"G-11, Islamabad, Islamabad Capital",2,6.4,For Sale,2
https://www.zameen.com/Property/faisalabad_eden_orchard_here_is_a_good_opportunity_to_live_in_a_well_built_house-17163209-11162-1.html,House,10000000,Eden Orchard,"Eden Orchard, Faisalabad, Punjab",0,5.0,For Sale,3
https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_3_marla_single_storey_brand_new_house_for_sale_ghauri_town_phase_4a__islamabad-16203666-3394-1.html,House,4500000,Ghauri Town,"Ghauri Town, Islamabad, Islamabad Capital",2,3.0,For Sale,2
https://www.zameen.com/Property/new_karachi_sector_5_a_new_karachi_sector_5_a_2_2nd_floor_portion_for_sale-11883827-7149-1.html,Upper Portion,3200000,New Karachi,"New Karachi, Karachi, Sindh",2,3.3,For Sale,2
https://www.zameen.com/Property/bahria_town_phase_4_bahria_town_civic_centre_flat_is_available_for_rent-16656577-8974-4.html,Flat,28000,Bahria Town Rawalpindi,"Bahria Town Rawalpindi, Rawalpindi, Punjab",0,4.4,For Rent,0
https://www.zameen.com/Property/karachi_north_nazimabad_200_sq_yards_double_storey_house_is_available_for_sale-12127819-11-1.html,House,20000000,North Nazimabad,"North Nazimabad, Karachi, Sindh",3,8.0,For Sale,2
https://www.zameen.com/Property/bahria_town_karachi_bahria_apartments_a_beautifully_built_apartment_at_good_location-16302213-9030-1.html,Flat,10900000,Bahria Town Karachi,"Bahria Town Karachi, Karachi, Sindh",3,10.0,For Sale,3
https://www.zameen.com/Property/lda_avenue_lda_avenue_block_k_flat_for_rent-17395739-8168-4.html,Flat,10000,LDA Avenue,"LDA Avenue, Lahore, Punjab",1,4.0,For Rent,2
https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_2_brand_new_double_unit_house_is_available_for_sale-16116021-3035-1.html,House,22500000,Bahria Town Rawalpindi,"Bahria Town Rawalpindi, Rawalpindi, Punjab",0,10.0,For Sale,5
https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_2_400_yards_ground_floor_is_available_for_rent-8290297-6825-4.html,Lower Portion,55000,Gulistan-e-Jauhar,"Gulistan-e-Jauhar, Karachi, Sindh",5,16.0,For Rent,4
https://www.zameen.com/Property/i_8_i_8_2_upper_portion_is_available_for_rent-17084552-3442-4.html,Upper Portion,60000,I-8,"I-8, Islamabad, Islamabad Capital",3,12.0,For Rent,3
https://www.zameen.com/Property/islamabad_g_13_brand_new_30x60_luxury_house_for_sale_in_g_13-16594472-330-1.html,House,28500000,G-13,"G-13, Islamabad, Islamabad Capital",6,8.0,For Sale,5
https://www.zameen.com/Property/ghauri_town_ghauri_garden_house_is_available_for_sale-16572092-10660-1.html,House,9500000,Ghauri Town,"Ghauri Town, Islamabad, Islamabad Capital",6,5.6,For Sale,5
https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_gulshan_block_prime_location_house_is_available_for_sale-16112300-3535-1.html,House,22500000,Allama Iqbal Town,"Allama Iqbal Town, Lahore, Punjab",4,10.0,For Sale,4
https://www.zameen.com/Property/karachi_university_road_luxury_flat_is_available_for_sale-16908347-324-1.html,Flat,5900000,University Road,"University Road, Karachi, Sindh",0,4.2,For Sale,3
https://www.zameen.com/Property/nasheman_e_iqbal_nasheman_e_iqbal_phase_2_upper_portion_is_available_for_rent-17349339-4071-4.html,Upper Portion,24000,Nasheman-e-Iqbal,"Nasheman-e-Iqbal, Lahore, Punjab",0,10.0,For Rent,2
https://www.zameen.com/Property/dha_defence_dha_phase_6_10_marla_luxurious_house_for_sale_in_phase_6_dha-17441518-1448-1.html,House,31000000,DHA Defence,"DHA Defence, Lahore, Punjab",5,10.0,For Sale,4
https://www.zameen.com/Property/lahore_wassanpura_7_5_marla_corner_house_for_sale-14204826-4547-1.html,House,18000000,Wassanpura,"Wassanpura, Lahore, Punjab",2,7.5,For Sale,4
https://www.zameen.com/Property/cantt_saddar_dehli_road_bengali_mohalla_sadar_cantt_1942_square_feet_house_for_sale-15548877-3655-1.html,House,12500000,Cantt,"Cantt, Lahore, Punjab",2,8.6,For Sale,3
https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_house_is_available_for_sale-16679623-3394-1.html,House,4800000,Ghauri Town,"Ghauri Town, Islamabad, Islamabad Capital",0,3.0,For Sale,3
https://www.zameen.com/Property/bahria_town_phase_4_bahria_town_civic_centre_brand_new_one_bed_sale-16902105-8974-1.html,Flat,3750000,Bahria Town Rawalpindi,"Bahria Town Rawalpindi, Rawalpindi, Punjab",1,2.7,For Sale,1
https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_3_luxury_home_for_sale_in_bahria_town_rawalpindi-15680523-3036-1.html,House,58500000,Bahria Town Rawalpindi,"Bahria Town Rawalpindi, Rawalpindi, Punjab",10,20.0,For Sale,9
https://www.zameen.com/Property/d_h_a_dha_phase_6_flat_is_available_for_sale-16956744-1483-1.html,Flat,6700000,DHA Defence,"DHA Defence, Karachi, Sindh",2,2.0,For Sale,2
